# CMUdict-derived US English IPA. Source: cmusphinx/cmudict (BSD-2-Clause,
# Copyright (C) 1993-2015 Carnegie Mellon University). See THIRD_PARTY_NOTICES.md.
# Format: word<TAB>ipa1;ipa2;...   Generated by tools/make_ipa_dict.py — do not edit by hand.
a	ə;ˈeɪ
abdomen	æbˈdoʊmən;ˈæbdəmən
abdominal	æbˈdɑːmənəl;əbˈdɑːmənəl
abduct	æbˈdʌkt
abducted	æbˈdʌktɪd;əbˈdʌktɪd
abductee	æbˌdʌkˈtiː
abductees	æbˌdʌkˈtiːz
abducting	æbˈdʌktɪŋ;əbˈdʌktɪŋ
abduction	æbˈdʌkʃən;əbˈdʌkʃən
abductions	æbˈdʌkʃənz;əbˈdʌkʃənz
abductor	æbˈdʌktər;əbˈdʌktər
abductors	æbˈdʌktərz;əbˈdʌktərz
abducts	æbˈdʌkts
abdul	æbˈduːl
abdulaziz	æbˌduːləˈziːz
abdulla	ɑːbˈduːlə
abdullah	ˌæbˈdʌlə
abe	ˈeɪb
abed	əˈbed
abedi	əˈbedi
abee	əˈbiː
abel	ˈeɪbəl
abela	ɑːˈbelə
abelard	ˈæbɪlərd
abele	əˈbel
abeles	əˈbelz;ˈeɪbəˌliːz
abell	ˈeɪbəl
abella	əˈbelə
abeln	ˈæbɪln
abelow	ˈæbəloʊ
abels	ˈeɪbəlz
abelson	ˈæbɪlsən
abend	ˈæbend;əˈbend
abendroth	ˈæbɪndrɔːθ
aber	ˈeɪbər
abercrombie	ˌæbərˈkrɑːmbi
aberdeen	ˈæbərˌdiːn
aberford	ˈeɪbərfərd
aberg	ˈæbərɡ
aberle	ˈæbərəl;ˈæbərl
abermin	ˈæbərmɪn
abernathy	ˈæbərˌnæθi
abernethy	ˈæbərˌneθi
aberrant	æˈberənt
aberration	ˌæbərˈeɪʃən
aberrational	ˌæbərˈeɪʃənəl
aberrations	ˌæbərˈeɪʃənz
abert	ˈæbərt
abet	əˈbet
abetted	əˈbetɪd
abetting	əˈbetɪŋ
abex	ˈeɪbeks
abeyance	əˈbeɪəns
abeyta	ɑːˈbeɪtə
abhor	æbˈhɔːr
abhorred	əbˈhɔːrd
abhorrence	əbˈhɔːrəns
abhorrent	æbˈhɔːrənt
abhors	əbˈhɔːrz
abiam	ˈeɪbiəm
abiam's	ˈeɪbiəmz
abid	ˈeɪbɪd
abide	əˈbaɪd
abided	əˈbaɪdɪd
abides	əˈbaɪdz
abiding	əˈbaɪdɪŋ
abidjan	æbɪˈdʒɑːn
abie	ˈæbi
abigail	ˈæbəˌɡeɪl
abila	ɑːˈbiːlə
abilene	ˈæbɪˌliːn
abilities	əˈbɪləˌtiːz
ability	əˈbɪləˌtiː
abimael	ˌæbɪˈmeɪl
abimaels	ˌæbɪˈmeɪlz
abingdon	ˈæbɪŋdən
abington	ˈæbɪŋtən
abio	ˈɑːbioʊ
abiola	ˌɑːbiˈoʊlə
abiola's	ˌɑːbiˈoʊləz
abiomed	eɪˈbiːəmed
abiquiu	əˈbɪkju
abitibi	ˌæbɪˈtiːbi
abitz	ˈæbɪts
abject	ˈæbdʒekt
abkhazia	æbˈkɑːzjə;æbˈkæzjə
abkhazian	æbˈkɑːziən;æbˈkæziən;æbˈkɑːzjən;æbˈkæzjən
abkhazians	æbˈkɑːziənz;æbˈkæziənz
ablate	ˌʌˈbleɪt
ablation	ˌʌˈbleɪʃən
ablaze	əˈbleɪz
able	ˈeɪbəl
able-bodied	ˌeɪbəlˈbɑːdid
abled	ˈeɪbəld
abler	ˈeɪbələr;ˈeɪblər
ables	ˈeɪbəlz
ablest	ˈeɪbəlst;ˈeɪbləst
abloom	əˈbluːm
ablution	əˈbluːʃən
ablutions	əˈbluːʃənz
ably	ˈeɪbli
abnegation	ˌæbneˈɡeɪʃən
abner	ˈæbnər
abney	ˈæbni
abnormal	æbˈnɔːrməl
abnormalities	ˌæbnɔːrˈmælətiz
abnormality	ˌæbnɔːrˈmæləti
abnormally	æbˈnɔːrməli
abo	ˈɑːboʊ
abo's	ˈɑːboʊz
aboard	əˈbɔːrd
abode	əˈboʊd
abohalima	æbəhəˈliːmə
abolish	əˈbɑːlɪʃ
abolished	əˈbɑːlɪʃt
abolishes	əˈbɑːlɪʃɪz
abolishing	əˈbɑːlɪʃɪŋ
abolition	ˌæbəˈlɪʃən
abolitionism	ˌæbəˈlɪʃəˌnɪzəm
abolitionist	ˌæbəˈlɪʃənəst
abolitionists	ˌæbəˈlɪʃənəsts
abominable	əˈbɑːmənəbəl
abomination	əˌbɑːməˈneɪʃən
abominations	əˌbɑːməˈneɪʃənz
abood	əˈbuːd
aboodi	əˈbuːdi
abor	əˈbɔːr
aboriginal	ˌæbərˈɪdʒənəl
aborigine	ˌæbərˈɪdʒəni
aborigines	ˌæbərˈɪdʒəniz
aborn	əˈbɔːrn
abort	əˈbɔːrt
aborted	əˈbɔːrtɪd
abortifacient	əˌbɔːrtəˈfeɪʃənt
abortifacients	əˌbɔːrtəˈfeɪʃənts
aborting	əˈbɔːrtɪŋ
abortion	əˈbɔːrʃən
abortionist	əˈbɔːrʃənɪst
abortionists	əˈbɔːrʃənɪsts
abortions	əˈbɔːrʃənz
abortive	əˈbɔːrtɪv
aborts	əˈbɔːrts
abott	əˈbɑːt
abou	əˈbuː
aboud	ɑːˈbuːd
abouhalima	ˌɑːbuhɑːˈliːmə
abouhalima's	ˌɑːbuhɑːˈliːməz
abound	əˈbaʊnd
abounded	əˈbaʊndɪd
abounding	əˈbaʊndɪŋ
abounds	əˈbaʊndz
about	əˈbaʊt
about's	əˈbaʊts
above	əˈbʌv
above's	əˈbʌvz
aboveboard	əˈbʌvˌbɔːrd
abplanalp	ˈæbplənælp
abra	ˈɑːbrə
abracadabra	ˌæbrəkəˈdæbrə
abrade	æˈbreɪd
abraded	æˈbreɪdɪd
abrades	æˈbreɪdz
abraham	ˈeɪbrəˌhæm
abrahamian	ˌæbrəˈheɪmiən
abrahams	ˈeɪbrəˌhæmz
abrahamsen	æbrəˈhæmsən
abrahamson	əˈbræhəmsən
abram	əˈbræm
abram's	ˈeɪbrəmz
abramczyk	ˈɑːbrəmtʃɪk
abramo	ɑːˈbrɑːmoʊ
abramovitz	əˈbrɑːməvɪts
abramowicz	əˈbrɑːməvɪtʃ
abramowitz	əˈbrɑːməwɪts
abrams	ˈeɪbrəmz
abrams's	ˈeɪbrəmzɪz
abramson	ˈeɪbrəmsən
abrasion	əˈbreɪʒən
abrasions	əˈbreɪʒənz
abrasive	əˈbreɪsɪv
abrasives	əˈbreɪsɪvz
abraxa	əˈbræksə
abraxa's	əˈbræksəz
abraxas	əˈbræksəz
abreast	əˈbrest
abrego	ɑːˈbreɡoʊ
abreu	əˈbruː
abridge	əˈbrɪdʒ
abridged	əˈbrɪdʒd
abridgement	əˈbrɪdʒmənt
abridges	əˈbrɪdʒəz
abridging	əˈbrɪdʒɪŋ
abril	əˈbrɪl
abroad	əˈbrɔːd
abrogate	ˈæbrəˌɡeɪt
abrogated	ˈæbrəˌɡeɪtɪd
abrogating	ˈæbrəˌɡeɪtɪŋ
abrogation	ˌæbrəˈɡeɪʃən
abrol	əˈbroʊl
abron	əˈbrɑːn
abrupt	əˈbrʌpt
abruptly	əˈbrʌptli
abruptness	əˈbrʌptnəs
abrutyn	ˈeɪbrutɪn
abruzzese	ɑːbrutˈseɪzi
abruzzo	ɑːˈbruːzoʊ
abs	ˌeɪˌbiːˈes;ˈæbz
absalom	ˈæbsələm
absaraka	æbˈsɑːrəkə
abscam	ˈæbskæm
abscess	ˈæbˌses
abscond	æbˈskɑːnd
absconded	æbˈskɑːndɪd
absconding	æbˈskɑːndɪŋ
absconds	æbˈskɑːndz
absecon	ˈæbsəkɔːn
absence	ˈæbsəns
absences	ˈæbsənsɪz
absent	ˈæbsənt
absentee	ˌæbsənˈtiː
absenteeism	ˌæbsənˈtiːɪzəm
absentees	ˌæbsənˈtiːz
absentia	æbˈsenʃə
absher	ˈæbʃər
abshier	ˈæbʃiər
abshire	ˈæbˌʃaɪr
absinthe	ˈæbsɪnθ
abso	ˈæbsoʊ
absolom	ˈæbsələm
absolut	ˌæbsəˈluːt
absolut's	ˌæbsəˈluːts
absolute	ˈæbsəˌluːt
absolutely	ˌæbsəˈluːtli
absoluteness	ˈæbsəˌluːtnəs
absolutes	ˈæbsəˌluːts
absolution	ˌæbsəˈluːʃən
absolutism	ˈæbsəˌluːˌtɪzəm
absolutist	æbsəˈluːtɪst
absolve	əbˈzɑːlv;æbˈzɑːlv
absolved	əbˈzɑːlvd;æbˈzɑːlvd
absolves	əbˈzɑːlvz;æbˈzɑːlvz
absolving	əbˈzɑːlvɪŋ;æbˈzɑːlvɪŋ
absorb	əbˈzɔːrb
absorbed	əbˈzɔːrbd
absorbency	əbˈzɔːrbənsi
absorbent	əbˈzɔːrbənt
absorber	əbˈzɔːrbər
absorbers	əbˈzɔːrbərz
absorbing	əbˈzɔːrbɪŋ
absorbs	əbˈzɔːrbz
absorption	əbˈzɔːrpʃən;əbˈsɔːrpʃən
abstain	əbˈsteɪn;æbˈsteɪn
abstained	əbˈsteɪnd;æbˈsteɪnd
abstaining	əbˈsteɪnɪŋ;æbˈsteɪnɪŋ
abstention	əbˈstentʃən;æbˈstentʃən
abstentions	əbˈstentʃənz;æbˈstentʃənz
abstinence	ˈæbstənəns
abstinent	ˈæbstənənt
abston	ˈæbstən
abstract	æbˈstrækt;ˈæbˌstrækt
abstracted	ˈæbˌstræktɪd
abstraction	æbˈstrækʃən
abstractions	æbˈstrækʃənz
abstracts	ˈæbstrækts
abstruse	əbˈstruːs
absurd	əbˈsɜːrd
absurdist	əbˈsɜːrdɪst
absurdities	əbˈsɜːrdətiz
absurdity	əbˈsɜːrdəti
absurdly	əbˈsɜːrdli
abt	ˈæbt;ˌeɪˌbiːˈtiː
abts	ˈæbts;ˌeɪˌbiːˈtiːz;ˌeɪˌbiːˌtiːˈes
abu	ˈæbu
abudrahm	əˈbʌdrəm
abuellah	əbˈwelə
abuellah's	əbˈweləz
abuladze	ˌæbjuˈlædzi
abundance	əˈbʌndəns
abundant	əˈbʌndənt
abundantly	əˈbʌndəntli
aburto	əˈbʊrˌtoʊ
aburto's	əˈbʊrˌtoʊz
abuse	əˈbjuːs;əˈbjuːz
abused	əˈbjuːzd
abuser	əˈbjuːzər
abusers	əˈbjuːzərz
abuses	əˈbjuːsɪz;əˈbjuːzɪz
abusing	əˈbjuːzɪŋ
abusive	əˈbjuːsɪv
abut	əˈbʌt
abuts	əˈbʌts
abutted	əˈbʌtɪd
abutting	əˈbʌtɪŋ
abuzz	əˈbʌz
abysmal	əˈbɪzməl
abysmally	əˈbɪzməli
abyss	əˈbɪs
abyssinia	æbˈsɪˌniːə
abyssinian	æbˈsɪˌniːən
abzug	ˈæbˌzʌɡ;ˈæbˌzʊɡ
ac	ˌeɪˈsiː
aca	ˈækə
acacia	əˈkeɪʃə
academe	ˈækəˌdiːm
academia	ˌækəˈdiːmiə
academic	ˌækəˈdemɪk
academically	ˌækəˈdemɪkli
academician	ˌækədəˈmɪʃən
academicians	ˌækədəˈmɪʃənz;əˌkædəˈmɪʃənz
academics	ˌækəˈdemɪks
academies	əˈkædəmiz
academy	əˈkædəmi
academy's	əˈkædəmiz
acadia	əˈkeɪdiə
acaena	əˈsiːnə
acampo	əˈkɑːmpoʊ
acampora	əˈkæmpərə
acampsia	əˈkæmpsjə
acantha	ɑːˈkɑːnðə
acapulco	ˌækəˈpʊlkoʊ
acary	ˈækəri
acc	ˌaɪˌsiːˈsiː
accardi	ɑːˈkɑːrdi
accardo	ɑːˈkɑːrdoʊ
accede	ækˈsiːd
acceded	ækˈsiːdɪd
accedes	ækˈsiːdz
acceding	ækˈsiːdɪŋ
accel	əkˈsel
accelerant	ækˈselərənt
accelerants	ækˈselərənts
accelerate	ækˈselərˌeɪt
accelerated	ækˈselərˌeɪtɪd
accelerates	ækˈselərˌeɪts
accelerating	ækˈselərˌeɪtɪŋ
acceleration	ˌækˌselərˈeɪʃən
accelerator	ækˈselərˌeɪtər
accelerators	ækˈselərˌeɪtərz
accelerometer	ækˌselərˈɑːmətər
accelerometers	ækˌselərˈɑːmətərz
accent	əkˈsent;ˈækˌsent
accented	ˈæksentɪd
accenting	ˈæksentɪŋ
accents	ˈæksents
accentuate	ækˈsentʃueɪt
accentuated	ækˈsentʃuˌeɪtɪd
accentuates	ækˈsentʃuˌeɪts
accentuating	ækˈsentʃuˌeɪtɪŋ
accenture	ækˈsentʃər
accept	ækˈsept;əkˈsept
acceptability	əkˌseptəˈbɪləti
acceptable	ækˈseptəbəl;əkˈseptəbəl
acceptably	ækˈseptəbli;əkˈseptəbli
acceptance	ækˈseptəns;əkˈseptəns
acceptances	ækˈseptənsɪz
accepted	ækˈseptɪd;əkˈseptɪd
accepting	ækˈseptɪŋ;əkˈseptɪŋ
accepts	ækˈsepts
access	ˈækˌses
accessed	ˈækˌsest
accessibility	ˌæksesəˈbɪlɪti
accessible	ækˈsesəbəl
accessing	ˈækˌsesɪŋ
accession	əkˈseʃən
accessories	ækˈsesəriz
accessorize	ækˈsesərˌaɪz
accessorized	ækˈsesərˌaɪzd
accessory	ækˈsesəri
accetta	ɑːˈtʃetə
accident	ˈæksədənt
accident's	ˈæksədənts
accidental	ˌæksəˈdentəl;ˌæksəˈdenəl
accidentally	ˌæksəˈdentəli;ˌæksəˈdenəli
accidently	ˈæksədəntli
accidents	ˈæksədənts
accion	ˈætʃiən
accival	ˈæsɪˌvɑːl
acclaim	əˈkleɪm
acclaim's	əˈkleɪmz
acclaimed	əˈkleɪmd
acclaiming	əˈkleɪmɪŋ
acclaims	əˈkleɪmz
acclamation	ˌækləˈmeɪʃən
acclimate	ˈækləˌmeɪt
acclimated	ˈækləˌmeɪtɪd
acclimation	ˌækləˈmeɪʃən
acco	ˈækoʊ
accokeek	ˈækoʊkik
accola	ɑːˈkoʊlə
accolade	ˈækəˌleɪd
accolades	ˈækəˌleɪdz
accomando	ɑːkoʊˈmɑːndoʊ
accommodate	əˈkɑːməˌdeɪt
accommodated	əˈkɑːməˌdeɪtɪd
accommodates	əˈkɑːməˌdeɪts
accommodating	əˈkɑːməˌdeɪtɪŋ
accommodation	əˌkɑːməˈdeɪʃən
accommodations	əˌkɑːməˈdeɪʃənz
accommodative	əˈkɑːməˌdeɪtɪv
accompanied	əˈkʌmpənid
accompanies	əˈkʌmpəniz
accompaniment	əˈkʌmpnɪmənt;əˈkʌmpnimənt
accompaniments	əˈkʌmpnɪmənts;əˈkʌmpnimənts
accompanist	əˈkʌmpənəst
accompany	əˈkʌmpəni
accompanying	əˈkʌmpəniɪŋ
accompli	ˌɑːˈkɑːmpli;əˈkɑːmpli
accomplice	əˈkɑːmpləs
accomplices	əˈkɑːmpləsəz
accomplish	əˈkɑːmplɪʃ
accomplished	əˈkɑːmplɪʃt
accomplishes	əˈkɑːmplɪʃɪz
accomplishing	əˈkɑːmplɪʃɪŋ
accomplishment	əˈkɑːmplɪʃmənt
accomplishments	əˈkɑːmplɪʃmənts
accor	ˈæˌkɔːr
accor's	ˈækərz
accord	əˈkɔːrd
accord's	əˈkɔːrdz
accordance	əˈkɔːrdəns
accorded	əˈkɔːrdɪd
according	əˈkɔːrdɪŋ
accordingly	əˈkɔːrdɪŋli
accordion	əˈkɔːrdiən
accordions	əˈkɔːrdiənz
accords	əˈkɔːrdz
accost	əˈkɔːst
accosted	əˈkɑːstɪd
accosting	əˈkɑːstɪŋ
account	əˈkaʊnt
account's	əˈkaʊnts
accountability	əˈkaʊntəˌbɪlɪti;əˈkaʊnəbɪlɪti
accountable	əˈkaʊntəbəl;əˈkaʊnəbəl
accountancy	əˈkaʊntənsi
accountant	əˈkaʊntənt
accountant's	əˈkaʊntənts
accountants	əˈkaʊntənts
accountants'	əˈkaʊntənts
accounted	əˈkaʊntɪd;əˈkaʊnəd
accountemp	əˈkaʊnˌtemp
accountemps	əˈkaʊnˌtemps
accounting	əˈkaʊntɪŋ;əˈkaʊnɪŋ
accounts	əˈkaʊnts
accouterment	əˈkuːtərmənt
accouterments	əˈkuːtərmənts
accoutrement	əˈkuːtərmənt
accoutrements	əˈkuːtərmənts
accra	ˈɑːˌkrɑː
accredit	əˌkredət
accreditation	əˌkredəˈteɪʃən
accreditations	əˌkredəˈteɪʃənz
accredited	əˈkredɪtɪd
accrediting	əˈkredətɪŋ
accreted	əˈkriːtɪd
accretion	əˈkriːʃən
accrual	əˈkruːəl
accruals	əˈkruːəlz
accrue	əˈkruː
accrued	əˈkruːd
accrues	əˈkruːz
accruing	əˈkruːɪŋ
accu	ˈækju
accuhealth	ˈækjuˌhelθ
accumulate	əˈkjuːmjəˌleɪt
accumulated	əˈkjuːmjəˌleɪtɪd
accumulates	əˈkjuːmjəˌleɪts
accumulating	əˈkjuːmjəˌleɪtɪŋ
accumulation	əˌkjuːmjəˈleɪʃən
accumulations	əˌkjuːmjəˈleɪʃənz
accumulative	əˈkjuːmjəˌleɪtɪv
accumulatively	əˈkjuːmjəˌleɪtɪvli;əˈkjuːmjələˌtɪvli
accumulator	əˈkjuːmjəˌleɪtər
accumulators	əˈkjuːmjəˌleɪtərz
accuracies	ˈækjərəsiz
accuracy	ˈækjərəsi
accurate	ˈækjərət
accurately	ˈækjərətli
accuray	ˈækjərˌeɪ
accuray's	ˈækjərˌeɪz
accuride	ˈækjərˌaɪd
accursed	ˌæˈkɜːrst
accurso	ɑːˈkʊrsoʊ
accusation	ˌækjəˈzeɪʃən;ˌækjuˈzeɪʃən
accusations	ˌækjəˈzeɪʃənz;ˌækjuˈzeɪʃənz
accusative	əˈkjuːzətɪv
accusatory	əˈkjuːzəˌtɔːri
accuse	əˈkjuːz
accused	əˈkjuːzd
accuser	əˈkjuːzər
accusers	əˈkjuːzərz
accuses	əˈkjuːzɪz
accusing	əˈkjuːzɪŋ
accusingly	əˈkjuːzɪŋli
accustom	əˈkʌstəm
accustomed	əˈkʌstəmd
accutane	ˈækjuˌteɪn
ace	ˈeɪs
acecomm	ˈeɪskɑːm
aced	ˈeɪst
acer	ˈeɪsər
acerbic	əˈserbɪk
acero	əˈseroʊ;əˈsjeroʊ;əˈθeroʊ
acerra	əˈserə
aces	ˈeɪsɪz
acetaminophen	əˌsiːtəˈmɪnəfən
acetate	ˈæsəˌteɪt
acetic	əˈsetɪk;əˈsiːtɪk
aceto	ɑːˈsetoʊ
acetochlor	ɑːˈsetoʊˌklɔːr
acetone	ˈæsəˌtoʊn
acetosyringone	əˌsetoʊˈsɪrɪŋɡɔːn
acetylcholine	əˌsetəlˈkoʊlin;əˌsiːtəlˈkoʊlin
acetylene	əˈsetəˌliːn
acevedo	æsəˈveɪdoʊ
aceves	ɑːˈseɪves
acey	ˈeɪsi
ach	ˌeɪˌsiːˈeɪtʃ
achaean	əˈtʃiːən
achatz	ˈækəts
ache	ˈeɪk
achebe	ɑːˈtʃeɪbi
ached	ˈeɪkt
achee	əˈtʃiː
achenbach	ˈækɪnbɑːk
achenbaum	ˈækənˌbaʊm
achene	əˈkiːn
achenes	əˈkiːnz
aches	ˈeɪks
acheson	ˈætʃəsən
acheson's	ˈætʃəsənz
achesons	ˈætʃəsənz
achey	ˈætʃi
achieva	əˈtʃiːvə
achievable	əˈtʃiːvəbəl
achieve	əˈtʃiːv
achieved	əˈtʃiːvd
achievement	əˈtʃiːvmənt
achievements	əˈtʃiːvmənts
achiever	əˈtʃiːvər
achievers	əˈtʃiːvərz
achieves	əˈtʃiːvz
achieving	əˈtʃiːvɪŋ
achill's	ˈækɪlz
achille	əˈkɪli
achilles	əˈkɪliz
achilles'	əˈkɪliz
aching	ˈeɪkɪŋ
achingly	ˈeɪkɪŋli
achmed	ˈɑːhmed
achoa	əˈtʃoʊə
achoa's	əˈtʃoʊəz
achoo	ˌɑːˈtʃuː
achor	ˈeɪkər
achord	ˈækɔːrd
achorn	ˈækərn
achtenberg	ˈæktenbərɡ
achterberg	ˈæktərbərɡ
achy	ˈeɪki
acid	ˈæsəd
acidic	əˈsɪdɪk
acidification	əˌsɪdəfəˈkeɪʃən
acidified	əˈsɪdəˌfaɪd
acidifies	əˈsɪdəˌfaɪz
acidify	əˈsɪdəˌfaɪ
acidity	əˈsɪdəti
acidly	ˈæsədli
acidosis	ˌæsəˈdoʊsəs
acids	ˈæsədz
aciduria	ˌæsəˈdʊriə
acierno	ɑːˈsɪrnoʊ
ack	ˈæk
acker	ˈækər
acker's	ˈækərz
ackerley	ˈækərli
ackerly	ˈækərli
ackerman	ˈækərmən
ackermann	ˈækərmən
ackermanville	ˈækərmənvɪl
ackerson	ˈækərsən
ackert	ˈækərt
ackhouse	ˈækˌhaʊs
ackland	ˈæklənd
ackles	ˈækəlz
ackley	ˈækli
acklin	ˈæklɪn
ackman	ˈækmən
acknowledge	ækˈnɑːlɪdʒ
acknowledgeable	ækˈnɑːlɪdʒəbəl
acknowledged	ækˈnɑːlɪdʒd
acknowledgement	ækˈnɑːlɪdʒmənt
acknowledgements	ækˈnɑːlɪdʒmənts
acknowledges	ækˈnɑːlɪdʒɪz
acknowledging	ækˈnɑːlɪdʒɪŋ
acknowledgment	ækˈnɑːlɪdʒmənt
acknowledgments	ækˈnɑːlɪdʒmənts
ackroyd	ˈæˌkrɔɪd
ackroyd's	ˈæˌkrɔɪdz
acm	ˌeɪˌsiːˈem
acmat	ˈækmæt
acmat's	ˈækmæts
acme	ˈækmi
acme's	ˈækmiz
acne	ˈækni
acocella	ɑːkoʊˈtʃelə
acoff	ˈækɔːf
acog	əˈkɔːɡ
acolyte	ˈækəˌlaɪt
acolytes	ˈækəˌlaɪts
acomb	ˈeɪkəm;ˈjækəm
acord	əˈkɔːrd
acordia	əˈkɔːrdiə
acorn	ˈeɪkɔːrn
acorn's	ˈeɪkɔːrnz
acorns	ˈeɪkɔːrnz
acosta	əˈkɔːstə
acott	ˈeɪkɔːt
acoustic	əˈkuːstɪk
acoustical	əˈkuːstɪkəl
acoustically	əˈkuːstɪkli
acoustics	əˈkuːstɪks
acquaint	əˈkweɪnt
acquaintance	əˈkweɪntəns
acquaintances	əˈkweɪntənsɪz
acquaintanceship	əˈkweɪntənsʃɪp
acquainted	əˈkweɪntɪd;əˈkweɪnɪd
acquaviva	ɑːkwɑːˈviːvə
acquiesce	ˌækwiˈes
acquiesced	ˌækwiˈest
acquiescence	ˌækwiˈesəns
acquiescent	ˌækwiˈesənt
acquiescing	ˌækwiˈesɪŋ
acquire	əˈkwaɪər
acquired	əˈkwaɪərd
acquirer	əˈkwaɪərər
acquirer's	əˈkwaɪərərz
acquirers	əˈkwaɪərərz
acquires	əˈkwaɪərz
acquiring	əˈkwaɪrɪŋ;əˈkwaɪərɪŋ
acquisition	ˌækwəˈzɪʃən
acquisition's	ˌækwəˈzɪʃənz
acquisitions	ˌækwəˈzɪʃənz
acquisitive	əˈkwɪzətɪv
acquit	əˈkwɪt
acquitaine	ˈækwɪˌteɪn
acquits	əˈkwɪts
acquittal	əˈkwɪtəl
acquittals	əˈkwɪtəlz
acquitted	əˈkwɪtɪd
acquitting	əˈkwɪtɪŋ
acre	ˈeɪkər
acreage	ˈeɪkərɪdʒ;ˈeɪkrədʒ
acree	əˈkriː
acres	ˈeɪkərz
acrey	ˈækri
acri	ˈɑːkri
acrid	ˈækrɪd
acrimonious	ˌækrəˈmoʊniəs
acrimony	ˈækrɪˌmoʊni
acro	ˈækroʊ
acrobat	ˈækrəˌbæt
acrobatic	ˌækrəˈbætɪk
acrobatics	ˌækrəˈbætɪks
acrobats	ˈækrəˌbæts
acrolein	ˈækroʊˌliːn
acronym	ˈækrənɪm
acronyms	ˈækrənɪmz
acropolis	əˈkrɑːpələs
across	əˈkrɔːs
acrylic	əˈkrɪlɪk
acrylics	əˈkrɪlɪks
act	ˈækt
act's	ˈækts
acta	ˈæktɑː
actava	ˌækˈtɑːvə
actava's	ˌækˈtɑːvəz
actavas	ˌækˈtɑːvəz
